Vernier Format 2
ayonisbad.txt 5/7/111 14:43:26
Run 1
Time	Potential	
T	P	
s	V	

59.7	0.002	
59.8	0.005	
59.9	0.005	
60.0	0.005	
60.1	0.008	
60.2	0.005	
60.3	0.008	
60.4	0.005	
60.5	0.002	
60.6	0.008	
60.7	0.005	
60.8	0.005	
60.9	0.005	
61.0	0.005	
61.1	0.005	
61.2	0.008	
61.3	0.008	
61.4	0.005	
61.5	0.008	
61.6	0.008	
61.7	0.005	
61.8	0.005	
61.9	-0.008	
62.0	0.002	
62.1	0.002	
62.2	0.005	
62.3	0.005	
62.4	0.005	
62.5	0.005	
62.6	0.005	
62.7	0.005	
62.8	0.002	
62.9	-0.002	
63.0	0.005	
63.1	0.005	
63.2	0.005	
63.3	0.005	
63.4	-0.014	
63.5	0.005	
63.6	0.005	
63.7	0.002	
63.8	0.005	
63.9	0.005	
64.0	0.005	
64.1	0.002	
64.2	0.005	
64.3	0.002	
64.4	0.002	
64.5	-0.005	
64.6	0.002	
64.7	0.002	
64.8	0.005	
64.9	0.005	
65.0	0.002	
65.1	0.008	
65.2	0.002	
65.3	0.005	
65.4	0.005	
65.5	0.005	
65.6	0.002	
65.7	0.005	
65.8	-0.008	
65.9	-0.005	
66.0	0.005	
66.1	0.005	
66.2	0.005	
66.3	0.005	
66.4	0.005	
66.5	0.002	
66.6	0.005	
66.7	0.005	
66.8	0.002	
66.9	0.002	
67.0	0.002	
67.1	0.002	
67.2	-0.005	
67.3	0.002	
67.4	0.002	
67.5	-0.005	
67.6	-0.014	
67.7	0.002	
67.8	0.002	
67.9	0.002	
68.0	0.002	
68.1	0.002	
68.2	0.002	
68.3	0.002	
68.4	-0.005	
68.5	-0.002	
68.6	0.002	
68.7	0.002	
68.8	0.002	
68.9	-0.005	
69.0	-0.020	
69.1	0.002	
69.2	0.002	
69.3	0.002	
69.4	0.002	
69.5	0.002	
69.6	0.005	
69.7	0.002	
69.8	0.002	
69.9	0.002	
70.0	0.002	
70.1	0.005	
70.2	0.002	
70.3	0.005	
70.4	0.005	
70.5	-0.008	
70.6	0.002	
70.7	-0.002	
70.8	0.002	
70.9	0.002	
71.0	0.005	
71.1	0.002	
71.2	0.002	
71.3	-0.017	
71.4	-0.020	
71.5	0.002	
71.6	0.002	
71.7	0.002	
71.8	0.002	
71.9	-0.017	
72.0	-0.002	
72.1	0.005	
72.2	0.002	
72.3	0.005	
72.4	0.002	
72.5	0.002	
72.6	0.002	
72.7	0.002	
72.8	0.005	
72.9	0.002	
73.0	-0.011	
73.1	0.002	
73.2	0.002	
73.3	-0.008	
73.4	-0.017	
73.5	0.002	
73.6	0.002	
73.7	0.002	
73.8	-0.002	
73.9	0.005	
74.0	0.002	
74.1	-0.002	
74.2	0.002	
74.3	-0.002	
74.4	-0.020	
74.5	0.002	
74.6	-0.002	
74.7	0.002	
74.8	0.002	
74.9	0.005	
75.0	0.002	
75.1	0.002	
75.2	-0.002	
75.3	-0.005	
75.4	0.002	
75.5	0.002	
75.6	0.002	
75.7	-0.002	
75.8	0.002	
75.9	-0.005	
76.0	0.002	
76.1	0.002	
76.2	0.002	
76.3	0.002	
76.4	-0.020	
76.5	0.002	
76.6	0.002	
76.7	0.002	
76.8	0.002	
76.9	0.002	
77.0	0.002	
77.1	0.002	
77.2	0.002	
77.3	0.002	
77.4	-0.002	
77.5	0.002	
77.6	-0.005	
77.7	0.002	
77.8	0.002	
77.9	0.002	
78.0	0.002	
78.1	0.002	
78.2	0.002	
78.3	0.002	
78.4	0.002	
78.5	-0.005	
78.6	-0.002	
78.7	-0.008	
78.8	-0.002	
78.9	0.002	
79.0	0.002	
79.1	0.002	
79.2	0.002	
79.3	-0.002	
79.4	-0.002	
79.5	-0.002	
79.6	0.002	
79.7	-0.005	
79.8	-0.002	
79.9	0.002	
80.0	-0.002	
80.1	0.002	
80.2	0.002	
80.3	0.002	
80.4	-0.014	
80.5	0.002	
80.6	-0.002	
80.7	-0.002	
80.8	0.002	
80.9	-0.017	
81.0	-0.002	
81.1	-0.023	
81.2	-0.002	
81.3	-0.002	
81.4	-0.002	
81.5	-0.008	
81.6	0.002	
81.7	-0.002	
81.8	-0.005	
81.9	-0.002	
82.0	-0.002	
82.1	-0.002	
82.2	-0.002	
82.3	-0.002	
82.4	0.002	
82.5	-0.002	
82.6	-0.020	
82.7	-0.002	
82.8	0.002	
82.9	-0.002	
83.0	-0.002	
83.1	-0.002	
83.2	0.002	
83.3	0.002	
83.4	-0.002	
83.5	0.002	
83.6	-0.002	
83.7	0.002	
83.8	-0.014	
83.9	-0.005	
84.0	-0.002	
84.1	-0.002	
84.2	-0.002	
84.3	-0.017	
84.4	-0.002	
84.5	0.002	
84.6	0.002	
84.7	0.002	
84.8	-0.002	
84.9	0.002	
85.0	0.002	
85.1	-0.002	
85.2	0.002	
85.3	-0.002	
85.4	-0.002	
85.5	-0.020	
85.6	-0.005	
85.7	0.002	
85.8	0.002	
85.9	-0.002	
86.0	0.002	
86.1	-0.005	
86.2	-0.002	
86.3	-0.002	
86.4	-0.008	
86.5	-0.005	
86.6	-0.002	
86.7	0.002	
86.8	-0.002	
86.9	0.002	
87.0	0.002	
87.1	0.002	
87.2	0.002	
87.3	0.002	
87.4	0.002	
87.5	0.002	
87.6	0.002	
87.7	-0.002	
87.8	0.002	
87.9	0.002	
88.0	-0.002	
88.1	-0.020	
88.2	-0.005	
88.3	0.002	
88.4	-0.008	
88.5	-0.005	
88.6	0.002	
88.7	-0.002	
88.8	0.002	
88.9	0.002	
89.0	0.002	
89.1	0.002	
89.2	0.002	
89.3	0.002	
89.4	-0.002	
89.5	-0.002	
89.6	0.002	
89.7	0.002	
89.8	0.002	
89.9	0.002	
90.0	-0.002	
90.1	0.002	
90.2	0.002	
90.3	0.002	
90.4	0.002	
90.5	-0.002	
90.6	0.002	
90.7	-0.005	
90.8	-0.002	
90.9	0.002	
91.0	-0.005	
91.1	0.002	
91.2	-0.002	
91.3	-0.008	
91.4	0.002	
91.5	-0.005	
91.6	-0.014	
91.7	0.002	
91.8	-0.002	
91.9	0.002	
92.0	0.002	
92.1	0.002	
92.2	0.002	
92.3	-0.005	
92.4	0.002	
92.5	-0.002	
92.6	-0.002	
92.7	0.002	
92.8	-0.002	
92.9	0.002	
93.0	0.002	
93.1	-0.005	
93.2	-0.008	
93.3	0.002	
93.4	-0.002	
93.5	-0.020	
93.6	-0.002	
93.7	-0.005	
93.8	-0.020	
93.9	0.002	
94.0	-0.002	
94.1	-0.005	
94.2	-0.011	
94.3	0.002	
94.4	-0.002	
94.5	-0.002	
94.6	-0.023	
94.7	-0.002	
94.8	-0.005	
94.9	0.002	
95.0	0.002	
95.1	-0.002	
95.2	-0.020	
95.3	-0.002	
95.4	-0.002	
95.5	0.002	
95.6	-0.008	
95.7	-0.005	
95.8	-0.002	
95.9	0.002	
96.0	0.002	
96.1	-0.002	
96.2	0.002	
96.3	-0.005	
96.4	-0.002	
96.5	-0.002	
96.6	-0.002	
96.7	0.002	
96.8	-0.005	
96.9	0.002	
97.0	-0.005	
97.1	-0.002	
97.2	-0.020	
97.3	-0.002	
97.4	-0.005	
97.5	-0.002	
97.6	0.002	
97.7	0.002	
97.8	-0.002	
97.9	0.002	
98.0	0.002	
98.1	0.002	
98.2	-0.005	
98.3	-0.002	
98.4	0.002	
98.5	-0.002	
98.6	-0.008	
98.7	-0.008	
98.8	-0.014	
98.9	-0.005	
99.0	-0.002	
99.1	-0.017	
99.2	-0.002	
99.3	-0.002	
99.4	-0.002	
99.5	0.002	
99.6	-0.002	
99.7	-0.008	
99.8	-0.005	
99.9	0.002	
100.0	0.002	
